instance,policy,depth,ok,best_cut,avg_cut,best_ratio,avg_ratio,std_ratio,opt,avg_time_s,wall_s,error
be100.1,modularity,3,True,10189.0,9066.0,0.9022800957809752,0.8903816405670573,0.008435555040740115,19412.0,9s 235ms,36.62,
be100.1,kl,1,True,10818.0,9525.666666666666,0.9089445021296434,0.8952519195044252,0.011619072560666388,19412.0,25s 984ms,87.06,
be100.1,kl,2,True,10818.0,9825.333333333334,0.9089445021296434,0.898426959942927,0.007857113708903638,19412.0,27s 510ms,90.98,
be100.1,kl,3,True,10899.0,10275.666666666666,0.9098027166196945,0.9031983499678612,0.006272193526320155,19412.0,29s 305ms,96.96,
be100.1,boundary,1,True,11440.0,10016.666666666666,0.9155347417939862,0.9004541826478213,0.012141145148014496,19412.0,3s 673ms,16.52,
be100.1,boundary,2,True,10160.0,8638.0,0.9019728338030557,0.88584687758259,0.011512147028641779,19412.0,5s 700ms,22.83,
be100.1,boundary,3,True,9509.0,8268.666666666666,0.8950753321607934,0.8819337020477068,0.012181702009377347,19412.0,8s 87ms,29.27,
be100.1,JointGenerator+Critic,1,True,10221.0,9575.0,0.9026191434807485,0.8957746180415759,0.009679620704085732,19412.0,14s 774ms,49.85,
be100.2,greedy(classical),0,True,10461.0,10461.0,0.6050318102949682,0.6050318102949682,0.0,17290.0,~0ms,0.0,
be100.2,random,1,True,9618.0,7324.0,0.9155187032693557,0.8902580027088632,0.01834272279804966,17290.0,3s 347ms,18.67,
be100.2,random,2,True,7732.0,6748.333333333333,0.8947507515443824,0.8839189690169175,0.008202512554188291,17290.0,5s 371ms,21.95,
be100.2,random,3,True,8862.0,7504.333333333333,0.907193903956482,0.8922437683297911,0.011911432746405824,17290.0,7s 673ms,31.95,
be100.2,modularity,1,True,8855.0,8073.333333333333,0.9071168224813628,0.898509391093052,0.006666413653124364,17290.0,3s 858ms,17.19,
be100.2,modularity,2,True,10744.0,8499.333333333334,0.9279178091242444,0.9032003494360206,0.01997233597352014,17290.0,6s 207ms,24.09,
be100.2,modularity,3,True,10391.0,8434.666666666666,0.924030700450376,0.9024882634277764,0.017431199711714827,17290.0,8s 997ms,32.63,
be100.2,kl,1,True,8050.0,7694.333333333333,0.8982524528426546,0.8943359797973125,0.004242748406753061,17290.0,14s 766ms,50.04,
be100.2,kl,2,True,8779.0,7842.333333333333,0.9062799378943543,0.8959657024141183,0.009482312366656196,17290.0,16s 225ms,57.5,
be100.2,kl,3,True,7390.0,7132.0,0.8909847709028443,0.8881437679627368,0.0024500835585383003,17290.0,19s 560ms,67.95,
be100.2,boundary,1,True,8325.0,7886.333333333333,0.901280653650909,0.8964502145434391,0.005995196877678337,17290.0,3s 765ms,19.57,
be100.2,boundary,2,True,10056.0,9191.333333333334,0.9203418012839572,0.9108204038335187,0.009034181951416009,17290.0,5s 675ms,22.28,
be100.2,boundary,3,True,8414.0,7397.0,0.9022606895488532,0.8910618523779635,0.008017486782183343,17290.0,8s 62ms,29.26,
be100.2,JointGenerator+Critic,1,True,7856.0,7104.666666666667,0.8961161948179226,0.8878427831551283,0.006423359776273966,17290.0,15s 316ms,51.86,
